SEQUENCIA;ATIVO NOVO;ATIVO ANTERIOR;CONCILIAÄ«O;LOCALIZAÄ«O ;CODIGO CENTRO CUSTO;DESCRIÄ«O CENTRO CUSTO;DESCRIÄ«O ;MARCA;MODELO;SERVICE TAG;
INVENTARIO;;;;;;;;;;;
1;17500;;91640;ADMINISTRATIVO;1160;Administracao Industrial;ARMARIO BAIXO 2 PORTAS ;;;;
2;17251;;91650;ADMINISTRATIVO;1160;Administracao Industrial;ARMARIO BAIXO 2 PORTAS ;;;;
3;17252;;91660;ADMINISTRATIVO;1160;Administracao Industrial;ARMARIO BAIXO 2 PORTAS ;;;;
4;17253;4609;46090;ADMINISTRATIVO;1160;Administracao Industrial;ARMARIO BAIXO 2 PORTAS ;;;;
5;17254;9161;91610;ADMINISTRATIVO;1160;Administracao Industrial;ARMARIO ALTO 2 PORTAS ;;;;
6;17255;1903;53120;ADMINISTRATIVO;1160;Administracao Industrial;ARMARIO ALTO 2 PORTAS ;;;;
7;17256;6356;63560;ADMINISTRATIVO;1160;Administracao Industrial;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
8;17257;;44790;ADMINISTRATIVO;1160;Administracao Industrial;ESTAÄ«O TRABALHO L 2X2;;;;
9;17258;14228;62191;ADMINISTRATIVO;1160;Administracao Industrial;MONITOR VIDEO ;DELL;15;;
10;17259;14144;7041160;ADMINISTRATIVO;1160;Administracao Industrial;CPU;DELL;OPTIPLEX 780;;
11;17260;;91490;ADMINISTRATIVO;1160;Administracao Industrial;ESTAÄ«O TRABALHO L 2X1,5;;;;
12;17261;7394;73940;ADMINISTRATIVO;1160;Administracao Industrial;ESTAÄ«O TRABALHO L 2X1,5;;;;
13;17262;4461;44610;ADMINISTRATIVO;1160;Administracao Industrial;ESTAÄ«O TRABALHO L 2X1,5;;;;
14;17263;4460;44600;ADMINISTRATIVO;1160;Administracao Industrial;ESTAÄ«O TRABALHO L 2X1,5;;;;
15;17264;;84900;ADMINISTRATIVO;1160;Administracao Industrial;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
16;17265;;76650;ADMINISTRATIVO;1160;Administracao Industrial;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
17;17266;;76640;ADMINISTRATIVO;1160;Administracao Industrial;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
18;17267;14317;7046101;ADMINISTRATIVO;1160;Administracao Industrial;MONITOR VIDEO ;DELL;15;;
19;17268;9442;90072;ADMINISTRATIVO;1160;Administracao Industrial;CPU;DELL;OPTIPLEX 745;;
20;17269;14225;62361;ADMINISTRATIVO;1160;Administracao Industrial;MONITOR VIDEO ;DELL;15;;
21;17270;14147;7041190;ADMINISTRATIVO;1160;Administracao Industrial;CPU;DELL;OPTIPLEX 780;;
22;17271;14223;49511;ADMINISTRATIVO;1160;Administracao Industrial;MONITOR VIDEO ;DELL;15;;
23;17272;14146;139960;ADMINISTRATIVO;1160;Administracao Industrial;CPU;DELL;OPTIPLEX 780;;
24;17273;14230;119720;ADMINISTRATIVO;1160;Administracao Industrial;MONITOR VIDEO ;DELL;15;;
25;17274;14143;139950;ADMINISTRATIVO;1160;Administracao Industrial;CPU;DELL;OPTIPLEX 780;;
26;17275;;8000240;ADMINISTRATIVO;1160;Administracao Industrial;AR CONDICIONADO ;HITACHI ;SPLIT;;
27;17328;;169100;ADMINISTRATIVO;1160;Administracao Industrial;AR CONDICIONADO ;HITACHI ;SPLIT GRANDE;;
28;S/N;;33670;ADMINISTRATIVO;1160;Administracao Industrial;5 CADEIRAS GIRAT‡RIAS ROD÷ZIOS BRAÄOS ;;;;
