ITEM;ATIVO;ATIVO ANT./CONC;COMPLEMENTO;AREA;P&IDS-EQUIPAMENTO;P&IDS-PLANTA;CENTRO CUSTO;DESCRIÄ«O CENTRO DE CUSTO;DESCRIÄ«O;MARCA;MODELO;OBS
1;104451;111551378;;FOSFATO-REATORES;RE-53101A;Y-531-002;7224;CARBOQUELATO;REATOR 1;;;
2;104451;1027560;0001;FOSFATO-REATORES;RE-53101A;Y-531-002;7224;CARBOQUELATO;MOTOREDUTOR;;;
3;104452;41213063;;FOSFATO-REATORES;RE-53101B;Y-531-002;7224;CARBOQUELATO;REATOR 2;;;
4;104452;;0001;FOSFATO-REATORES;RE-53101B;Y-531-002;7224;CARBOQUELATO;MOTOREDUTOR ;;;
5;104453;37020;;FOSFATO-REATORES;RE-53101C;Y-531-002;7224;CARBOQUELATO;REATOR 3;;;
6;104453;;0001;FOSFATO-REATORES;RE-53101C;Y-531-002;7224;CARBOQUELATO;MOTOREDUTOR ;;;
7;104454;37030;;FOSFATO-REATORES;RE-53101D;Y-531-002;7224;CARBOQUELATO;REATOR 4;;;
8;104454;;0001;FOSFATO-REATORES;RE-53101D;Y-531-002;7224;CARBOQUELATO;MOTOREDUTOR ;;;
9;104455;1024860;;FOSFATO-REATORES;RE-53101E;Y-531-004;7224;CARBOQUELATO;REATOR 5;;;
10;104455;;0001;FOSFATO-REATORES;RE-53101E;Y-531-004;7224;CARBOQUELATO;MOTOREDUTOR ;;;
11;104456;1024880;;FOSFATO-REATORES;RE-53101F;Y-531-004;7224;CARBOQUELATO;REATOR 6;;;
12;104456;;0001;FOSFATO-REATORES;RE-53101F;Y-531-004;7224;CARBOQUELATO;MOTOREDUTOR ;;;
13;104457;1024890;;FOSFATO-REATORES;RE-53101G;Y-531-004;7224;CARBOQUELATO;REATOR 7;;;
14;104457;;0001;FOSFATO-REATORES;RE-53101G;Y-531-004;7224;CARBOQUELATO;MOTOREDUTOR ;;;
15;104458;1024900;;FOSFATO-REATORES;RE-53101H;Y-531-004;7224;CARBOQUELATO;REATOR 8;;;
16;104458;;0001;FOSFATO-REATORES;RE-53101H;Y-531-004;7224;CARBOQUELATO;MOTOREDUTOR ;;;
17;104459;1029650;;FOSFATO-REATORES;RO-53116A;Y-531-002;7224;CARBOQUELATO;ROSCA TRANSPORTADORA;;;
