Bem Pat;Seq;Conta;Descrição Conta;Narrativa;Data Inv.;Plaqueta;Localização;Un Neg;Plano CCusto;Centro Custo;MARCA;MODELO
6998;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA RETANGULAR SEBALD COM GAVETEIRO;30/11/2016;24100;SALA REUNIÃO;0;TORT2007;3112;;
6999;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA RETANGULAR SEBALD COM GAVETEIRO;30/11/2016;24101;SALA REUNIÃO;0;TORT2007;3112;;
7003;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24102;SALA REUNIÃO;0;TORT2007;3112;;
7004;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24103;SALA REUNIÃO;0;TORT2007;3112;;
7005;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24104;SALA REUNIÃO;0;TORT2007;3112;;
7006;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24105;SALA REUNIÃO;0;TORT2007;3112;;
7007;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24106;SALA REUNIÃO;0;TORT2007;3112;;
7008;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24107;SALA REUNIÃO;0;TORT2007;3112;;
7009;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24108;SALA REUNIÃO;0;TORT2007;3112;;
7010;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24109;SALA REUNIÃO;0;TORT2007;3112;;
7011;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24110;SALA REUNIÃO;0;TORT2007;3112;;
7012;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24111;SALA REUNIÃO;0;TORT2007;3112;;
7013;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24112;SALA REUNIÃO;0;TORT2007;3112;;
7014;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24113;SALA REUNIÃO;0;TORT2007;3112;;
7015;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24114;SALA REUNIÃO;0;TORT2007;3112;;
7016;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24115;SALA REUNIÃO;0;TORT2007;3112;;
7017;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24116;SALA REUNIÃO;0;TORT2007;3112;;
7018;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24117;SALA REUNIÃO;0;TORT2007;3112;;
7019;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL MED.140X60X73 BORTOLINI;30/11/2016;24118;SALA REUNIÃO;0;TORT2007;3112;;
7054;0;132010904;MOVEIS E UTENSILIOS - COML.;RACK AMBAR TB MOVEIS;30/11/2016;24121;SALA REUNIÃO;0;TORT2007;3112;;
6743;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA MODELO MCW518;30/11/2016;24123;SALA REUNIÃO;0;TORT2007;3112;TRANE;0
6744;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA MODELO MCW518;30/11/2016;24124;SALA REUNIÃO;0;TORT2007;3112;TRANE;0
6978;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO BAIXO 01 PRATELEIRA;30/11/2016;24125;TRANSBORDO;0;TORT2007;3112;;
6979;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO BAIXO 01 PRATELEIRA;30/11/2016;24126;TRANSBORDO;0;TORT2007;3112;;
6980;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO BAIXO 01 PRATELEIRA;30/11/2016;24127;TRANSBORDO;0;TORT2007;3112;;
6982;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA EM L SEBALD COM GAVETEIRO 3 GAVETAS;30/11/2016;24128;TRANSBORDO;0;TORT2007;3112;;
6683;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA MODELO MCW518K10RAB;30/11/2016;24129;TRANSBORDO;0;TORT2007;3112;TRANE;0
7000;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA DE REUNIAO CIRCULAR DIAMETRO 120;30/11/2016;24130;ATENDIMENTO1;0;TORT2007;3112;;
7001;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA DE REUNIAO CIRCULAR DIAMETRO 120;30/11/2016;24131;ATENDIMENTO2;0;TORT2007;3112;;
7021;0;132010904;MOVEIS E UTENSILIOS - COML.;GAVETEIRO GERENTE MADEIRADO 3 GAVETAS;30/11/2016;24134;GERÊN.VENDAS;0;TORT2007;3112;;
6954;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMÁRIO BAIXO 2 PORTAS 01 PRATELEIRA;30/11/2016;24135;GERÊN.VENDAS;0;TORT2007;3112;;
6996;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA EM L SEBALD COM GAVETEIRO 3 GAVETAS;30/11/2016;24136;GERÊN.VENDAS;0;TORT2007;3112;;
6955;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMÁRIO BAIXO 2 PORTAS 01 PRATELEIRA;30/11/2016;24137;GERÊN.VENDAS;0;TORT2007;3112;;
6684;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA MODELO MCW524K10RAB;30/11/2016;24138;GERÊN.VENDAS;0;TORT2007;3112;TRANE;0
6922;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA DALIA;30/11/2016;6922;GERÊN.VENDAS;0;TORT2007;3112;;
6949;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA MODELO ANTURIO 60X60;30/11/2016;24139;VENDAS;0;TORT2007;3112;;
6950;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA MODELO ANTURIO 60X60;30/11/2016;24140;VENDAS;0;TORT2007;3112;;
6951;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA MODELO ANTURIO 60X60;30/11/2016;24141;VENDAS;0;TORT2007;3112;;
6983;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA EM L SEBALD COM GAVETEIRO 3 GAVETAS;30/11/2016;24142;VENDAS;0;TORT2007;3112;;
7022;0;132010904;MOVEIS E UTENSILIOS - COML.;GAVETEIRO SEBALD 03 GAVETAS;30/11/2016;24143;VENDAS;0;TORT2007;3112;;
7723;0;132010904;MOVEIS E UTENSILIOS - COML.;GAVETEIRO VOLANTE DE 02 GAVETAS E 01 GAV;30/11/2016;24144;VENDAS;0;TORT2007;3112;;
6984;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA EM L SEBALD COM GAVETEIRO 3 GAVETAS;30/11/2016;24145;VENDAS;0;TORT2007;3112;;
6985;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA EM L SEBALD COM GAVETEIRO 3 GAVETAS;30/11/2016;24146;VENDAS;0;TORT2007;3112;;
6986;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA EM L SEBALD COM GAVETEIRO 3 GAVETAS;30/11/2016;24147;VENDAS;0;TORT2007;3112;;
