Bem Pat;Seq;Conta;Descrição Conta;Narrativa;Data Inv.;Plaqueta;Localização;Centro Custo;MARCA;MODELO
15246;0;132010506;EQUIPAMENTOS C.P.D. - COML.;HP NOTEBOOK 6460B;30/11/2016;24503;ARQUIVO;3112;DELL;
15117;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MICROCOMPUTADOR PORTATIL DELL LATITUDE E;30/11/2016;16369;ARQUIVO;3112;DELL;LA.E7440
12141;0;132010506;EQUIPAMENTOS C.P.D. - COML.;PROJETOR DELL 1420 X;30/11/2016;16585;ARQUIVO;3112;DELL;1510X
13917;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24507;RECEPÇÃO ;3112;HITACH;
13918;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24509;SAL.REUNIÃO ;3112;HITACH;
16352;0;132010904;MOVEIS E UTENSILIOS - COML.;AR-CONDICIONADO PARA O CD DE CUIABA.;30/11/2016;16352;NI;3112;;
13919;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24511;TREINAMENTO;3112;HITACH;
13920;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24512;TREINAMENTO;3112;HITACH;
16215;0;132010506;EQUIPAMENTOS C.P.D. - COML.;PROJETOR MULT. POWERLITE S18;30/11/2016;16215;TREINAMENTO;3112;EPSON;POW S18+
13936;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24513;TREINAMENTO;3112;;
13937;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24514;TREINAMENTO;3112;;
