Bem Pat;Seq;Conta;Descrição Conta;Narrativa;Data Inv.;Plaqueta;Localização;Un Neg;Plano CCusto;Centro Custo;MARCA;MODELO
7781;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO BAIXO COM 2 PORTAS - ARGILA;30/11/2016;23501;LOGISTICA;0;TORT2007;3111;;
7982;0;132010904;MOVEIS E UTENSILIOS - COML.;REFRIGERADOR CONSUL CRA-34D 340L BC 220V;30/11/2016;23592;REFEIT. EXPE;0;TORT2007;3112;CONSUL;ESATTA
7740;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA RETANGULAR PARA SALA DE REUNIAO;30/11/2016;23594;REFEIT. EXPE;0;TORT2007;3112;;
7741;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA RETANGULAR PARA SALA DE REUNIAO;30/11/2016;23595;REFEIT. EXPE;0;TORT2007;3112;;
7742;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA RETANGULAR PARA SALA DE REUNIAO;30/11/2016;23596;REFEIT. EXPE;0;TORT2007;3112;;
7743;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA RETANGULAR PARA SALA DE REUNIAO;30/11/2016;23597;REFEIT. EXPE;0;TORT2007;3112;;
7744;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA RETANGULAR PARA SALA DE REUNIAO;30/11/2016;23598;REFEIT. EXPE;0;TORT2007;3112;;
5580;0;132010904;MOVEIS E UTENSILIOS - COML.;TV PHILCO 20;30/11/2016;23603;APOIO MOTORI;0;TORT2007;3112;LG;29 POLEG
7793;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA SEBALD CENTRAL 1200;30/11/2016;23604;APOIO MOTORI;0;TORT2007;3112;;
8132;0;132010904;MOVEIS E UTENSILIOS - COML.;ROUPEIRO 12 P.P;30/11/2016;23605;VESTI. MASC.;0;TORT2007;3112;;
7794;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA SEBALD CENTRAL 1200;30/11/2016;23606;EXPEDIÇAO;0;TORT2007;3112;;
7795;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA SEBALD CENTRAL 1200;30/11/2016;23607;EXPEDIÇAO;0;TORT2007;3112;;
7593;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO ESTANTE DE AÇO STEEL LINE;30/11/2016;23608;EXPEDIÇAO;0;TORT2007;3112;;
7284;0;132010904;MOVEIS E UTENSILIOS - COML.;CONJUNTO UNIDADE EVAPORADORA MOD. MCW518;30/11/2016;23609;GEREN. VENDA;0;TORT2007;3112;TRANE;
7769;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO BAIXO / FENDA E TAMPO.;30/11/2016;23610;GEREN. VENDA;0;TORT2007;3112;;
