Bem Pat;Seq;Conta;DescriÁ„o Conta;Narrativa;Data Inv.;Plaqueta;LocalizaÁ„o;Un Neg;Plano CCusto;Centro Custo;MARCA;MODELO;LicenÁa Uso;EspecificaÁ„o TÈcnica
10179;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220V 60HZ HITACHI;30/11/2016;10179;NI;0;TORT2007;1160;;;;
10180;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220V 60HZ HITACHI;30/11/2016;10180;NI;0;TORT2007;1160;;;;
6465;0;132011201;MOVEIS E UTENSILIOS -RESTAURANTE;UNIDADE EVAPORADORA/CONDENSADORA HITACHI;30/11/2016;6465;NI;0;TORT2007;1162;;;;
6466;0;132011201;MOVEIS E UTENSILIOS -RESTAURANTE;UNIDADE EVAPORADORA/CONDENSADORA HITACHI;30/11/2016;6466;NI;0;TORT2007;1162;;;;
8925;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8925;NI;0;TORT2007;1160;;;;
8926;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8926;NI;0;TORT2007;1160;;;;
8927;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8927;NI;0;TORT2007;1160;;;;
8928;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8928;NI;0;TORT2007;1160;;;;
8929;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8929;NI;0;TORT2007;1160;;;;
8941;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8941;NI;0;TORT2007;1160;;;;
8942;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8942;NI;0;TORT2007;1160;;;;
8943;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8943;NI;0;TORT2007;1160;;;;
8944;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8944;NI;0;TORT2007;1160;;;;
8945;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8945;NI;0;TORT2007;1160;;;;
8946;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8946;NI;0;TORT2007;1160;;;;
8947;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;30/11/2016;8947;NI;0;TORT2007;1160;;;;
9591;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220V 60HZ.;30/11/2016;9591;NI;0;TORT2007;1160;;;;
9592;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220V 60HZ.;30/11/2016;9592;NI;0;TORT2007;1160;;;;
9599;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220 60HZ.;30/11/2016;9599;NI;0;TORT2007;1160;;;;
9600;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220 60HZ.;30/11/2016;9600;NI;0;TORT2007;1160;;;;
9601;0;132010902;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220 60HZ.;30/11/2016;9601;NI;0;TORT2007;1160;;;;
101404;0;135012302;MAQS.EQUIPS.INC. LEI 11051/04-PR;SISTEMA DE TRANSPORTE PNEUMATICO (PARTE);30/11/2016;104550;SALA REUNI√O;0;TORT2007;7223;NCR;0;VR-41216F-01;Y412002
101404;1;135012302;MAQS.EQUIPS.INC. LEI 11051/04-PR;SISTEMA DE TRANSPORTE PNEUMATICA (PARTE);30/11/2016;104550;SALA REUNI√O;0;TORT2007;7223;NCR;0;VR-41216F-01;Y412002
101404;14;135010402;EQUIPAMENTOS - PROD;CONJUNTO DE TUBULACAO DE TRANSPORTE;30/11/2016;104550;SALA REUNI√O;0;TORT2007;7223;NCR;0;VR-41216F-01;Y412002
101404;15;135010402;EQUIPAMENTOS - PROD;CONJ.DE VALVULAS/MODULO DE CONTROLE/TRAN;30/11/2016;104550;SALA REUNI√O;0;TORT2007;7223;NCR;0;VR-41216F-01;Y412002
101404;16;135010402;EQUIPAMENTOS - PROD;PLATAFORMA DE ACESSO E MATERIAIS DE INST;30/11/2016;104550;SALA REUNI√O;0;TORT2007;7223;NCR;0;VR-41216F-01;Y412002
101404;2;135012302;MAQS.EQUIPS.INC. LEI 11051/04-PR;SISTEMA DE TRANSPORTE PNEUMATICO (PARTE);30/11/2016;104550;SALA REUNI√O;0;TORT2007;7223;NCR;0;VR-41216F-01;Y412002
