Bem Pat;Seq;Conta;Descrição Conta;Narrativa;Data Inv.;Plaqueta;Localização;Un Neg;Plano CCusto;Centro Custo;MARCA;MODELO
10240;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO STANDER C/1 DIV C/4 PRAT 800X435;30/11/2016;24001;ADM;0;TORT2007;3112;;
10241;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO STANDER C/1 DIV C/4 PRAT 800X435;30/11/2016;24002;ADM;0;TORT2007;3112;;
10242;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO STANDER C/3 PORTAS 2 DIV 9 PRAT.;30/11/2016;24003;ADM;0;TORT2007;3112;;
10243;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO STANDER C/3 PORTAS 2 DIV 9 PRAT.;30/11/2016;24004;ADM;0;TORT2007;3112;;
10220;0;132010904;MOVEIS E UTENSILIOS - COML.;GAVETEIRO VOLANTE 2 GAVETAS P/PASTAS.;30/11/2016;24006;ADM;0;TORT2007;3112;;
10547;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO;30/11/2016;24007;ADM;0;TORT2007;3112;;
16351;0;132010506;EQUIPAMENTOS C.P.D. - COML.;IMPRESSORA MULTIFUNCIONAL COLORIDA HP -;30/11/2016;24009;ADM;0;TORT2007;3112;HP;LASERJET
412165;5;132010904;MOVEIS E UTENSILIOS - COML.;APARELHO DE AR CONDICIONADO SPRINGER;30/11/2016;24010;ADM;0;TORT2007;3112;SPRING;MAXIFLEX
10189;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA DE TRABALHO STANDER 900 X 730 X 740;30/11/2016;24012;ADM;0;TORT2007;3112;;
10225;0;132010904;MOVEIS E UTENSILIOS - COML.;GAVETEIRO VOLANTE 2 GAVETAS P/PASTAS.;30/11/2016;24014;ADM;0;TORT2007;3112;;
412165;6;132010904;MOVEIS E UTENSILIOS - COML.;APARELHO DE AR CONDICIONADO SPRINGER;30/11/2016;24010;ADM;0;TORT2007;3112;SPRING;MAXIFLEX
15518;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MONITOR DELL P 1913 SB 19 POLEGADAS;30/11/2016;24018;ADM;0;TORT2007;3112;DELL;E19
15052;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MICROCOMPUTADOR DELL OPTPLEX 710 SMALL;30/11/2016;24019;ADM;0;TORT2007;3112;DELL;OPT 7010
15519;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MONITOR DELL P 1913 SB 19 POLEGADAS;30/11/2016;24020;ADM;0;TORT2007;3112;DELL;E19
15520;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MONITOR DELL P 1913 SB 19 POLEGADAS;30/11/2016;24021;ADM;0;TORT2007;3112;DELL;E19
15053;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MICROCOMPUTADOR DELL OPTPLEX 710 SMALL;30/11/2016;24022;ADM;0;TORT2007;3112;DELL;OPT 7010
15521;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MONITOR DELL P 1913 SB 19 POLEGADAS;30/11/2016;24023;ADM;0;TORT2007;3112;DELL;E19
15054;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MICROCOMPUTADOR DELL OPTPLEX 710 SMALL;30/11/2016;24024;ADM;0;TORT2007;3112;DELL;OPT 7010
10221;0;132010904;MOVEIS E UTENSILIOS - COML.;GAVETEIRO VOLANTE 2 GAVETAS P/PASTAS.;30/11/2016;24025;ADM;0;TORT2007;3112;;
16761;0;132010506;EQUIPAMENTOS C.P.D. - COML.;"LATITUDE E7450 (ULTRABOOK - TELA 14"") -";30/11/2016;16761;ADM;0;TORT2007;3112;DELL;ULTRABOK
10226;0;132010904;MOVEIS E UTENSILIOS - COML.;GAVETEIRO VOLANTE 2 GAVETAS P/PASTAS.;30/11/2016;24027;ADM;0;TORT2007;3112;;
412165;2;132010904;MOVEIS E UTENSILIOS - COML.;APARELHO DE AR CONDICIONADO SPRINGER;30/11/2016;24010;ADM;0;TORT2007;3112;SPRING;MAXIFLEX
10545;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA 200 x 85 COM 2 BANCOS.;30/11/2016;24029;COPA;0;TORT2007;3112;;
10546;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA 250 x 90 C/ 2 BANCOS;30/11/2016;24030;COPA;0;TORT2007;3112;;
10255;0;132010904;MOVEIS E UTENSILIOS - COML.;FOGAO DAKO SUPREME 4 BOCAS.;30/11/2016;24031;COPA;0;TORT2007;3112;DAKO;0
10257;0;132010904;MOVEIS E UTENSILIOS - COML.;FORNO MICROONDAS CONSUL 25 LTS.;30/11/2016;24033;COPA;0;TORT2007;3112;CONSUL;FACILITE
10256;0;132010904;MOVEIS E UTENSILIOS - COML.;GELADEIRA CONSUL 254 LTS. CM530 ABHNA.;30/11/2016;24034;COPA;0;TORT2007;3112;CONSUL;280
412165;7;132010904;MOVEIS E UTENSILIOS - COML.;APARELHO DE AR CONDICIONADO SPRINGER;30/11/2016;24010;ADM;0;TORT2007;3112;SPRING;MAXIFLEX
10222;0;132010904;MOVEIS E UTENSILIOS - COML.;GAVETEIRO VOLANTE 2 GAVETAS P/PASTAS.;30/11/2016;24038;RECEPÇÃO ;0;TORT2007;3112;;
15055;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MICROCOMPUTADOR DELL OPTPLEX 710 SMALL;30/11/2016;24040;RECEPÇÃO ;0;TORT2007;3112;DELL;OPT 7010
13799;0;132010506;EQUIPAMENTOS C.P.D. - COML.;IMPRESSORA MULTIFUNCIONAL HP LASER JET;30/11/2016;24042;RECEPÇÃO ;0;TORT2007;3112;HP;LASERJET
412165;8;132010904;MOVEIS E UTENSILIOS - COML.;APARELHO DE AR CONDICIONADO SPRINGER;30/11/2016;24010;ADM;0;TORT2007;3112;SPRING;MAXIFLEX
