num_bem_pat;num_seq_bem_pat;;CONCILIA«√O;;cod_cta_pat;Custo;Depreci;DescriÁ„o Conta;DescriÁ„o;Data Aquis;Data Calc;Estab;Desc. Estabelecimento;Plaqueta;LocalizaÁ„o;Centro Custo;Un Neg;Data Saldo;Plano CCusto; Valor Imobilizado ; Valor Depreciado ; Valor Amortizado ; Valor Liquido ;Quantidade
10179;0;101790;COMPLEMENTO;101790;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220V 60HZ HITACHI;09/04/2008;09/04/2008;19;Mairinque / SP;10179;MAIRINQUE;1160;0;01/08/2016;TORT2007;226;188;0;38;1
10180;0;101800;COMPLEMENTO;101800;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220V 60HZ HITACHI;09/04/2008;09/04/2008;19;Mairinque / SP;10180;;1160;0;01/08/2016;TORT2007;328;273;0;55;1
6465;0;64650;COMPLEMENTO;64650;132011201;1.3.2.01.12;1.3.2.05.11;MOVEIS E UTENSILIOS -RESTAURANTE;UNIDADE EVAPORADORA/CONDENSADORA HITACHI;01/07/2005;01/07/2005;19;Mairinque / SP;6465;MAIRINQUE;1162;0;01/08/2015;TORT2007;6750,01;6750,01;0;0;1
6466;0;64660;COMPLEMENTO;64660;132011201;1.3.2.01.12;1.3.2.05.11;MOVEIS E UTENSILIOS -RESTAURANTE;UNIDADE EVAPORADORA/CONDENSADORA HITACHI;01/07/2005;01/07/2005;19;Mairinque / SP;6466;MAIRINQUE;1162;0;01/07/2015;TORT2007;6750;6750;0;0;1
800028;51;80002851;COMPLEMENTO;;132110201;1.3.2.11.02;1.3.2.11.02;OBRAS EM ANDAMENTO;BIG BAG STATION WITH 2 POWDER TRANSFER S;10/09/2015;10/09/2015;19;Mairinque / SP;800028;GERENCIA FAB;7200;0;10/09/2015;TORT2007;1018666,72;0;0;1018666,72;1
8925;0;89250;COMPLEMENTO;89250;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8925;MAIRINQUE;1160;0;01/08/2016;TORT2007;934,99;849,11;0;85,88;1
8926;0;89260;COMPLEMENTO;89260;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8926;MAIRINQUE;1160;0;01/08/2016;TORT2007;977,98;888,35;0;89,63;1
8927;0;89270;COMPLEMENTO;89270;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8927;MAIRINQUE;1160;0;01/08/2016;TORT2007;978;888,35;0;89,65;1
8928;0;89280;COMPLEMENTO;89280;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8928;MAIRINQUE;1160;0;01/08/2016;TORT2007;978;888,35;0;89,65;1
8929;0;89290;COMPLEMENTO;89290;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8929;MAIRINQUE;1160;0;01/08/2016;TORT2007;978;888,35;0;89,65;1
8941;0;89410;COMPLEMENTO;89410;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8941;MAIRINQUE;1160;0;01/08/2016;TORT2007;240;218;0;22;1
8942;0;89420;COMPLEMENTO;89420;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8942;MAIRINQUE;1160;0;01/08/2016;TORT2007;240;218;0;22;1
